Id,Title,Xp,Created at,Updated at,Order in book
8,American Style Pancakes,100,2021-03-13 17:53:28 UTC,2021-03-13 17:53:28 UTC,
7,Chicken Salad With Homemade Pesto,100,2021-03-13 17:53:28 UTC,2021-03-13 17:53:28 UTC,
6,Stuffed Mushroom With Sauteed Spinach,100,2021-03-13 17:53:28 UTC,2021-03-13 17:53:28 UTC,
5,Honey Mustard Salmon,100,2021-03-13 17:53:28 UTC,2021-03-13 17:53:28 UTC,
4,Stove and pasta,100,2021-03-13 17:53:28 UTC,2021-05-21 19:45:17 UTC,3
3,Oven,100,2021-03-13 17:53:28 UTC,2021-05-21 19:45:33 UTC,2
2,Microwave Deserts,100,2021-03-13 17:53:28 UTC,2021-05-21 19:38:54 UTC,2
1,Seasoning magic,100,2021-03-13 17:53:28 UTC,2021-05-21 19:45:55 UTC,1
