Id,Quantity,Unit,Created at,Updated at
7,40,g,2021-04-05 19:12:39 UTC,2021-04-05 19:12:39 UTC
6,200,g,2021-04-05 19:05:39 UTC,2021-04-05 19:05:39 UTC
5,50,g,2021-04-05 19:02:54 UTC,2021-04-05 19:02:54 UTC
4,200,g,2021-04-05 19:02:29 UTC,2021-04-05 19:02:29 UTC
3,200,g,2021-04-05 19:02:07 UTC,2021-04-05 19:02:07 UTC
