id,recipe_name,technique_name
1,Avotoast,slicing
2,Avotoast,platoning
3,Avotoast,seasoning 1
4,Baked Portobello,mixing
5,Baked Portobello,seasoning 1
6,Baked Portobello,baking 1
7,Chocolate kissed strawberries,microwaving
8,spaghetti alla carbonara,boiling
9,spaghetti alla carbonara,pan frying 1
10,spaghetti alla carbonara,mixing
11,spaghetti alla carbonara,seasoning 1
12,spaghetti alla carbonara,salting 1
