Id,Name,Description,Icon,Created at,Updated at
9,Samurai,"You have mastered all the chopping techniques in Cuukin v1.0 -- quite impressive!
You would make a stellar samurai...",https://res.cloudinary.com/cuukin/image/upload/v1614815614/Cuukin%20-%20Awards/award-samurai_mgycxs.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
8,Oh hi there!,"This is your first ever log in, welcome my future chef!
Have this award, you deserve it.",https://res.cloudinary.com/cuukin/image/upload/v1614815612/Cuukin%20-%20Awards/award-login_dueama.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
7,Supporter,"Thank you for making a donation to our Patreon site. Kin sends his love.
xoxoxx
Kin",https://res.cloudinary.com/cuukin/image/upload/v1614815612/Cuukin%20-%20Awards/award-patreon_edny9i.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
6,First book,"Just like our first love, we will remember you dearly.
Congrats on finishing the first book!",https://res.cloudinary.com/cuukin/image/upload/v1614815612/Cuukin%20-%20Awards/award-book_jqy52w.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
5,Not a recipe virgin,"Congrats, first recipe is now done and dusted.
Wasn't that bad right?!",https://res.cloudinary.com/cuukin/image/upload/v1614815612/Cuukin%20-%20Awards/award-first_tggawv.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
4,Fire Dancer,You have mastered all Cuukin v1.0 heating techniques -- like a cool(ass) fire dancer.,https://res.cloudinary.com/cuukin/image/upload/v1614815612/Cuukin%20-%20Awards/award-fire_o24654.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
3,Bookworm,"But like, a cute one, like Hermione!
You finished all the books of Cuukin v1.0. Congrats! More will come and we will inform you when they do!",https://res.cloudinary.com/cuukin/image/upload/v1614815614/Cuukin%20-%20Awards/award-worm_seqtdd.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
2,Cuukin up a Storm,"A storm is brewing...
You visited Cuukin for 3 days in a row, keep it coming to not lose this award!",https://res.cloudinary.com/cuukin/image/upload/v1614815614/Cuukin%20-%20Awards/award-storm_alb40e.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
1,Sizzlin' Hot,"You cooked 3+ recipes this week!
Keep it up to keep this award badge",https://res.cloudinary.com/cuukin/image/upload/v1614815614/Cuukin%20-%20Awards/award-sizzlin_hy3yzi.svg,2021-03-13 17:53:31 UTC,2021-03-13 17:53:31 UTC
