Id,Title,Description,Xp,Level,Created at,Updated at,Icon url
2,Kitchen Basics,"You have the essentials down, lets move onto some new recipes. Don't worry, we're taking it easy on you still!",500,newbie,2021-03-13 17:53:26 UTC,2021-04-27 03:22:49 UTC,https://res.cloudinary.com/cuukin/image/upload/v1619189401/Cuukin%20-%20Book%20-%20Icons/book-1_aitoac.svg
1,Kitchen SOS,"New to cooking? Don't worry, we got your back. These basic recipes are a perfect starting point.",500,newbie,2021-03-13 17:53:26 UTC,2021-04-27 03:23:05 UTC,https://res.cloudinary.com/cuukin/image/upload/v1619189400/Cuukin%20-%20Book%20-%20Icons/book-0_ppxwtu.svg
